#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
JBH,20130510,10:04:11.184,DELETE,,,,,,0,,6267643730648570277,A,,,,,203
JBH,20130510,10:04:11.667,AMEND,17.120,527,,9022.24,,0,6267643730648534912,,B,09:46:59,17.120,427,150,
JBH,20130510,10:04:11.751,ENTER,17.030,894,0,15224.82,,0,,6267643730648570372,A,,,,,203
JBH,20130510,10:04:12.156,DELETE,,,,,,0,6267643730648570356,,B,,,,366,
JBH,20130510,10:04:12.157,ENTER,17.420,120,0,2090.4,,0,6267643730648570382,,B,,,,366,
JBH,20130510,10:04:12.158,AMEND,17.020,1037,,17649.74,,0,,6267643730648534898,A,09:46:58,17.030,1037,,150
JBH,20130510,10:04:12.161,AMEND,17.030,1037,,17660.11,,0,,6267643730648534898,A,09:46:58,17.020,1037,,150
JBH,20130510,10:04:12.164,DELETE,,,,,,0,6267643730648570349,,B,,,,366,
JBH,20130510,10:04:12.164,DELETE,,,,,,0,6267643730648570382,,B,,,,366,
JBH,20130510,10:04:12.165,ENTER,17.420,133,0,2316.86,,0,6267643730648570387,,B,,,,366,
JBH,20130510,10:04:12.165,AMEND,17.020,1037,,17649.74,,0,,6267643730648534898,A,09:46:58,17.030,1037,,150
JBH,20130510,10:04:12.178,DELETE,,,,,,0,6267643730648570387,,B,,,,366,
JBH,20130510,10:04:12.185,ENTER,17.420,112,0,1951.04,,0,6267643730648570391,,B,,,,366,
JBH,20130510,10:04:12.190,ENTER,17.420,133,0,2316.86,,0,6267643730648570392,,B,,,,366,
JBH,20130510,10:04:12.192,AMEND,17.030,1037,,17660.11,,0,,6267643730648534898,A,09:46:58,17.020,1037,,150
JBH,20130510,10:04:13.042,ENTER,17.190,715,0,12290.85,,0,,6267643730648570409,A,,,,,203
JBH,20130510,10:04:18.931,AMEND,17.160,527,,9043.32,,0,6267643730648534912,,B,09:46:59,17.120,527,150,
JBH,20130510,10:04:23.026,TRADE,17.040,34,,579.36,AC,0,6267643730648559825,6267643730648570266,,,,,210,299
JBH,20130510,10:04:23.026,TRADE,17.040,166,,2828.64,AC,0,6267643730648559825,6267643730648569657,,,,,210,603
JBH,20130510,10:04:23.026,TRADE,17.040,254,,4328.16,AC,0,6267643730648534904,6267643730648569657,,,,,203,603
JBH,20130510,10:04:23.026,TRADE,17.040,96,,1635.84,AC,0,6267643730648570342,6267643730648569657,,,,,366,603
JBH,20130510,10:04:23.026,TRADE,17.040,112,,1908.48,AC,0,6267643730648570391,6267643730648569657,,,,,366,603
JBH,20130510,10:04:23.026,TRADE,17.040,133,,2266.32,AC,0,6267643730648570392,6267643730648569657,,,,,366,603
JBH,20130510,10:04:23.026,TRADE,17.040,242,,4123.68,AC,0,6267643730648563368,6267643730648569657,,,,,203,603
JBH,20130510,10:04:23.026,TRADE,17.040,190,,3237.6,AC,0,6267643730648569695,6267643730648569657,,,,,203,603
JBH,20130510,10:04:23.026,TRADE,17.040,82,,1397.28,AC,0,6267643730648570336,6267643730648569657,,,,,203,603
JBH,20130510,10:04:23.026,TRADE,17.040,225,,3834,AC,0,6267643730648534912,6267643730648569657,,,,,150,603
